City,Start_Year,Source,
保定市,2010,第一批(城市),
南昌市,2010,第一批(城市),
厦门市,2010,第一批(城市),
天津市,2010,第一批(城市),
杭州市,2010,第一批(城市),
贵阳市,2010,第一批(城市),
重庆市,2010,第一批(城市),
临沧市,2010,第一批(省份),
丽江市,2010,第一批(省份),
保山市,2010,第一批(省份),
大理白族自治州,2010,第一批(省份),
德宏傣族景颇族自治州,2010,第一批(省份),
怒江傈僳族自治州,2010,第一批(省份),
文山壮族苗族自治州,2010,第一批(省份),
昆明市,2010,第一批(省份),
昭通市,2010,第一批(省份),
普洱市,2010,第一批(省份),
曲靖市,2010,第一批(省份),
楚雄彝族自治州,2010,第一批(省份),
玉溪市,2010,第一批(省份),
红河哈尼族彝族自治州,2010,第一批(省份),
西双版纳傣族自治州,2010,第一批(省份),
迪庆藏族自治州,2010,第一批(省份),
东莞市,2010,第一批(省份),
中山市,2010,第一批(省份),
云浮市,2010,第一批(省份),
佛山市,2010,第一批(省份),
广州市,2010,第一批(省份),
惠州市,2010,第一批(省份),
揭阳市,2010,第一批(省份),
梅州市,2010,第一批(省份),
汕头市,2010,第一批(省份),
汕尾市,2010,第一批(省份),
江门市,2010,第一批(省份),
河源市,2010,第一批(省份),
深圳市,2010,第一批(省份),
清远市,2010,第一批(省份),
湛江市,2010,第一批(省份),
潮州市,2010,第一批(省份),
珠海市,2010,第一批(省份),
肇庆市,2010,第一批(省份),
茂名市,2010,第一批(省份),
阳江市,2010,第一批(省份),
韶关市,2010,第一批(省份),
十堰市,2010,第一批(省份),
咸宁市,2010,第一批(省份),
孝感市,2010,第一批(省份),
宜昌市,2010,第一批(省份),
恩施土家族苗族自治州,2010,第一批(省份),
武汉市,2010,第一批(省份),
荆州市,2010,第一批(省份),
荆门市,2010,第一批(省份),
襄阳市,2010,第一批(省份),
鄂州市,2010,第一批(省份),
随州市,2010,第一批(省份),
黄冈市,2010,第一批(省份),
黄石市,2010,第一批(省份),
丹东市,2010,第一批(省份),
大连市,2010,第一批(省份),
抚顺市,2010,第一批(省份),
朝阳市,2010,第一批(省份),
本溪市,2010,第一批(省份),
沈阳市,2010,第一批(省份),
盘锦市,2010,第一批(省份),
营口市,2010,第一批(省份),
葫芦岛市,2010,第一批(省份),
辽阳市,2010,第一批(省份),
铁岭市,2010,第一批(省份),
锦州市,2010,第一批(省份),
阜新市,2010,第一批(省份),
鞍山市,2010,第一批(省份),
咸阳市,2010,第一批(省份),
商洛市,2010,第一批(省份),
安康市,2010,第一批(省份),
宝鸡市,2010,第一批(省份),
延安市,2010,第一批(省份),
榆林市,2010,第一批(省份),
汉中市,2010,第一批(省份),
渭南市,2010,第一批(省份),
西安市,2010,第一批(省份),
铜川市,2010,第一批(省份),
上海市,2013,第二批(城市),
乌鲁木齐市,2013,第二批(城市),
北京市,2013,第二批(城市),
南平市,2013,第二批(城市),
吉林市,2013,第二批(城市),
呼伦贝尔市,2013,第二批(城市),
大兴安岭地区,2013,第二批(城市),
宁波市,2013,第二批(城市),
广元市,2013,第二批(城市),
晋城市,2013,第二批(城市),
景德镇市,2013,第二批(城市),
池州市,2013,第二批(城市),
济源市,2013,第二批(城市),
淮安市,2013,第二批(城市),
温州市,2013,第二批(城市),
石家庄市,2013,第二批(城市),
秦皇岛市,2013,第二批(城市),
苏州市,2013,第二批(城市),
赣州市,2013,第二批(城市),
遵义市,2013,第二批(城市),
金昌市,2013,第二批(城市),
镇江市,2013,第二批(城市),
青岛市,2013,第二批(城市),
三亚市,2013,第二批(省份),
三沙市,2013,第二批(省份),
儋州市,2013,第二批(省份),
海口市,2013,第二批(省份),
三明市,2017,第三批(城市),
乌海市,2017,第三批(城市),
六安市,2017,第三批(城市),
兰州市,2017,第三批(城市),
共青城市,2017,第三批(城市),
南京市,2017,第三批(城市),
合肥市,2017,第三批(城市),
吉安市,2017,第三批(城市),
嘉兴市,2017,第三批(城市),
宜城市,2017,第三批(城市),
宣城市,2017,第三批(城市),
常州市,2017,第三批(城市),
徐州市,2017,第三批(城市),
成都市,2017,第三批(城市),
抚州市,2017,第三批(城市),
敦煌市,2017,第三批(城市),
昌吉市,2017,第三批(城市),
柳州市,2017,第三批(城市),
株洲市,2017,第三批(城市),
桂林市,2017,第三批(城市),
泉州市,2017,第三批(城市),
济南市,2017,第三批(城市),
淮北市,2017,第三批(城市),
湘潭市,2017,第三批(城市),
潍坊市,2017,第三批(城市),
烟台市,2017,第三批(城市),
焦作市,2017,第三批(城市),
第一师阿拉尔市,2017,第三批(城市),
衢州市,2017,第三批(城市),
西宁市,2017,第三批(城市),
逊克县,2017,第三批(城市),
郑州市,2017,第三批(城市),
郴州市,2017,第三批(城市),
金华市,2017,第三批(城市),
铜陵市,2017,第三批(城市),
银川市,2017,第三批(城市),
长沙市,2017,第三批(城市),
长治市,2017,第三批(城市),
黄山市,2017,第三批(城市),
